index,xtsne,ytsne,label
30546,-8.253165,1.418866,4.0
45616,-8.18055,6.8151054,7.0
55576,-5.7539907,2.6794856,9.0
48718,3.7963963,3.4375408,8.0
14416,4.8170676,7.507543,2.0
6972,-1.8506976,1.5466635,1.0
61079,-1.016939,5.551273,1.0
17715,5.713275,7.9982076,2.0
5534,8.891696,-1.0648497,0.0
9213,1.670043,10.895293,1.0
63307,2.8781812,-5.099158,3.0
9964,-1.6980563,2.5732179,1.0
50256,0.122758776,-1.7237701,8.0
10871,2.1872382,11.228003,1.0
19427,-3.161603,-5.576169,3.0
49929,2.4178443,2.1652348,8.0
25806,-5.4662766,6.1752505,4.0
65002,-8.943599,-4.0487695,4.0
52700,-2.6532636,-6.826023,8.0
2704,8.044866,-2.6936474,0.0
38686,3.9454353,-10.963229,6.0
19207,-3.2454944,-3.9563572,3.0
44537,-8.613276,8.817963,7.0
33721,0.6490438,3.9309964,5.0
43082,-7.077511,9.8979435,7.0
4053,10.218861,-1.2060057,0.0
9151,0.5501407,6.533916,1.0
16859,7.770666,7.2065,2.0
11325,-2.2532675,2.4367359,1.0
52449,3.3916757,4.235069,8.0
38887,3.6502357,-12.820093,6.0
60141,8.871164,-0.15651132,0.0
28744,-7.162136,-6.082704,4.0
32732,-3.4342003,-0.8051168,5.0
68426,-3.7957978,5.568399,8.0
51377,-0.12410454,-0.45225775,8.0
597,13.029875,-2.9451897,0.0
65821,0.47190922,3.4143782,5.0
50139,3.1374989,4.6283493,8.0
27245,-9.078164,-2.8859005,4.0
28787,-0.998089,12.336866,4.0
31349,2.8824291,-0.37845358,5.0
37758,4.0710692,-9.646183,6.0
53794,2.528693,2.7056134,8.0
6340,-2.144689,3.6513855,1.0
61309,-2.9174552,2.3494954,1.0
36205,3.3101165,-8.581462,6.0
4581,11.234457,-2.7568743,0.0
29510,-7.409336,-0.023292854,4.0
47209,-11.472696,4.478578,7.0
48464,-4.005799,0.07524437,8.0
9250,3.102727,12.851035,1.0
34287,-0.29532155,2.9073799,5.0
54803,-7.5260305,-0.2359983,9.0
44345,-12.243514,2.3324404,7.0
5493,12.127131,-4.931574,0.0
62161,7.707555,5.1039805,2.0
36939,4.119139,-9.486666,6.0
58316,-6.5908484,0.86822486,9.0
48362,3.8903844,1.433573,8.0
21710,5.239241,-1.4892164,3.0
31260,4.364041,-5.1421328,5.0
54577,-6.653576,6.614444,9.0
43184,-11.75352,0.92100185,7.0
8723,2.9348116,13.01733,1.0
8929,2.1182234,11.773904,1.0
37966,3.2976174,-12.372829,6.0
42494,-10.493198,6.5184994,7.0
2197,12.022454,-5.781672,0.0
28495,-8.146798,1.0140679,4.0
20864,-0.44741827,-4.5302587,3.0
1950,12.231352,-4.5339026,0.0
1862,8.875954,-0.9391523,0.0
47388,-11.074547,2.221734,7.0
15104,7.960282,8.169092,2.0
48839,1.391695,0.71584624,8.0
4449,9.583657,-0.06319136,0.0
11139,-2.7273922,3.6068358,1.0
67030,-12.240145,0.71730447,7.0
7191,1.9360647,10.377481,1.0
65375,-0.75053895,-3.3556478,5.0
54327,-8.9598675,-5.1599665,9.0
18299,-5.552139,10.453301,2.0
47125,-12.168821,1.6372927,7.0
66937,0.88987875,-12.628319,6.0
14066,11.135204,4.518685,2.0
10887,-2.2086444,4.1247478,1.0
18108,7.047608,5.1871367,2.0
7323,3.3040378,12.997454,1.0
35249,-0.26413646,-6.8663454,5.0
39886,3.958427,-11.715808,6.0
67523,-9.333428,8.325806,7.0
22741,5.346554,-1.5314856,3.0
64561,-8.644094,-6.928184,4.0
32129,-3.0490606,-2.5392382,5.0
60963,8.88414,-0.1148867,0.0
66177,5.328446,-8.213475,6.0
11308,-2.9150221,3.3455436,1.0
1533,9.953232,0.024076248,0.0
47100,-5.005229,1.3326555,7.0
62302,4.263016,9.023425,2.0
26361,-10.549222,-5.4755163,4.0
25798,-4.8844304,7.748158,4.0
69980,-5.2752066,7.7474174,9.0
26262,-7.136413,-6.313838,4.0
34951,0.28096402,2.400395,5.0
58509,-7.1152506,-0.024404366,9.0
46762,-12.311994,-0.5320271,7.0
31654,-2.7622313,-2.0500693,5.0
25948,-6.8278227,-3.8990252,4.0
35438,0.4065432,3.2939868,5.0
28785,-6.9522867,-6.1046853,4.0
40743,0.8860464,-13.447226,6.0
56615,-9.182595,-6.13946,9.0
5069,11.925743,-1.4995605,0.0
10466,-3.0705032,2.6677284,1.0
62812,9.879703,6.1547318,2.0
1399,11.035314,-3.9587104,0.0
9561,-2.437842,4.102896,1.0
2618,11.860653,-3.660386,0.0
45734,-8.467972,7.6787434,7.0
41848,2.3237445,-11.499871,6.0
13022,10.261666,4.6026907,2.0
30523,-5.084028,6.408797,4.0
43910,-8.3989315,7.4723682,7.0
296,10.269304,-6.4070983,0.0
15180,5.5533853,6.9031043,2.0
24513,2.9548872,-2.1240232,3.0
63022,7.9299965,6.8078446,2.0
28293,-7.5581703,-6.394328,4.0
43748,-10.490753,8.224354,7.0
7315,2.8151002,12.655475,1.0
47800,-8.251298,7.193525,7.0
8606,-3.066763,2.5026846,1.0
55285,-8.280082,5.0006795,9.0
32927,-2.2834837,-0.111892864,5.0
2756,8.426243,-3.5670855,0.0
54615,-8.5092,-5.5419903,9.0
21895,6.5572467,1.7301577,3.0
37283,4.2727776,-9.206186,6.0
43414,-7.9691405,9.687898,7.0
6875,-0.6724643,6.8783336,1.0
20156,-0.6124959,-8.48069,3.0
58692,-7.805513,-3.2167706,9.0
10529,-0.0039233686,8.532456,1.0
13606,7.4727473,5.361171,2.0
62775,7.3241425,6.1630616,2.0
68872,-0.6966971,-0.34432513,8.0
9616,1.3761718,8.441168,1.0
19083,1.2898821,-3.247164,3.0
45607,-8.284837,7.140776,7.0
63574,4.9576087,-4.8926105,3.0
55679,-7.654035,-1.5277877,9.0
32971,-1.4194034,-4.2473845,5.0
43180,-11.825122,2.7946973,7.0
3166,11.643461,-0.4938427,0.0
24703,-0.6374078,-5.076602,3.0
19770,2.4220254,-5.205933,3.0
15846,10.218641,6.109606,2.0
11880,-3.2046115,2.3924236,1.0
50316,-2.7748122,-6.845398,8.0
44209,-8.371119,7.938489,7.0
27109,-2.221246,-10.356231,4.0
10364,-0.9715096,6.9619083,1.0
32756,-1.7755653,-4.2243505,5.0
18123,6.818281,6.8741713,2.0
46708,-5.2272086,1.8836352,7.0
31950,0.04176021,2.8440416,5.0
49846,-0.41150787,0.7549983,8.0
13467,-5.4720654,2.635149,2.0
64259,-10.014949,-1.3663886,4.0
26411,-9.516512,-4.4701867,4.0
7403,2.8320632,12.957264,1.0
13057,8.165136,6.8445916,2.0
37131,1.5210352,-10.628418,6.0
62509,4.9191117,8.582344,2.0
1327,11.651837,0.019317092,0.0
12627,3.1606812,13.054869,1.0
37663,0.7859282,-13.013217,6.0
48837,-1.0402997,-0.7578228,8.0
27755,-8.092478,-1.2159415,4.0
40987,3.6429803,-11.063713,6.0
57508,-7.504358,-2.8461869,9.0
34879,1.4152591,-8.553979,5.0
57703,-9.149297,-3.0044422,9.0
45024,-6.742828,8.203798,7.0
9822,1.8178756,10.960974,1.0
76,11.815655,-1.0343091,0.0
61692,1.0197135,8.470764,1.0
2345,11.098301,-5.5982137,0.0
37245,-7.359561,-8.861252,6.0
30987,-3.7428381,-0.65060556,5.0
13550,8.739026,2.612724,2.0
69334,0.9630686,-7.1672745,9.0
37127,9.452744,-7.0943594,6.0
33006,-2.655047,-2.0793965,5.0
34323,0.71331704,4.6527658,5.0
13729,5.231127,7.9339113,2.0
11607,-0.24918032,6.996636,1.0
39505,6.8986983,-9.071247,6.0
1883,11.969988,-1.3685522,0.0
29727,-4.115776,7.764165,4.0
