a,xtsne,ytsne,label
49739,-0.49898693,0.8106426,8.0
68972,1.3345743,0.5142626,8.0
29178,-0.06653533,7.1544204,4.0
4682,1.1124645,-6.247918,0.0
26511,5.0887604,3.7072234,4.0
46157,1.5278523,3.8418725,7.0
44079,-3.8134153,7.8237953,7.0
9377,-3.908198,2.1062918,1.0
29761,5.4295483,3.8691812,4.0
27899,5.643993,2.3038697,4.0
34921,8.009862,-4.971979,5.0
67344,0.14873207,9.098629,7.0
1051,0.55982894,-8.1819105,0.0
46212,-3.6163933,8.153829,7.0
14317,-5.4061427,0.17570932,2.0
51554,2.950239,1.6623951,8.0
22857,1.4021008,-4.5476847,3.0
28655,2.844932,4.6363835,4.0
2335,3.6138694,-8.423192,0.0
59060,3.694022,6.0564713,9.0
66229,-3.671,-9.904566,6.0
30596,2.1141143,-2.6936662,5.0
53,-1.359389,-8.082354,0.0
31128,7.1663294,-4.4605956,5.0
65938,1.4146422,-1.5560895,5.0
10536,-9.6938,2.198473,1.0
44934,-3.0562067,5.651419,7.0
40815,-5.659778,-5.9359584,6.0
4744,2.1372292,-10.5442,0.0
52355,0.36373898,-0.09302715,8.0
37178,-3.3660452,-5.175334,6.0
27232,6.2163954,5.2849627,4.0
26354,-5.2362494,-8.714306,4.0
51931,2.6447682,0.30477473,8.0
45910,-3.6880221,6.9752965,7.0
36272,-5.208113,-4.8551683,6.0
59451,3.6361418,4.4257154,9.0
44337,0.16807295,10.029097,7.0
15055,-4.5853577,-0.139225,2.0
17198,-6.8954773,1.1517516,2.0
21994,5.696791,-3.156292,3.0
53869,-0.7230905,0.20216072,8.0
23094,4.3173194,-5.479905,3.0
49685,7.181497,-0.6619494,8.0
24452,7.8537035,-3.4092898,3.0
24122,7.6039047,-5.456067,3.0
59514,5.1847024,3.5604956,9.0
69106,2.590978,3.4585142,9.0
64552,4.1621284,5.628946,4.0
37273,-5.9093127,-5.8093314,6.0
8715,-5.354918,4.406186,1.0
31427,-0.1823056,-2.5199149,5.0
39839,-3.8216588,-8.711883,6.0
38067,-4.7458115,-4.0506964,6.0
13520,-5.545116,-0.91181904,2.0
16103,-8.460638,-3.3160727,2.0
61300,-7.5174637,3.9464424,1.0
45282,4.731335,8.393258,7.0
60012,2.0683131,-6.6906705,0.0
12234,-6.9489493,4.3954782,1.0
6979,-6.7459283,4.4812517,1.0
13437,-4.235212,0.026153015,2.0
68505,5.6072884,-0.51601624,8.0
2846,-0.20456733,-8.037607,0.0
481,0.4946805,-8.141031,0.0
22135,3.9477093,1.7046793,3.0
5798,-0.571677,-5.7231317,0.0
24757,3.2310004,3.97144,4.0
68368,1.9345903,0.8266299,8.0
11386,-5.7026024,3.6029024,1.0
29510,4.1896453,5.5990357,4.0
23697,3.5452855,-5.216975,3.0
28424,4.4598517,2.8663776,4.0
63115,-8.331243,-0.16741894,2.0
28847,4.71079,6.061257,4.0
17463,-3.687382,6.673136,2.0
33668,-1.6474303,-1.2267607,5.0
62105,-9.845299,2.488055,1.0
63948,5.7804184,-4.5750213,3.0
30517,-0.40309268,6.314441,4.0
18529,-7.063071,-2.3203766,2.0
64867,1.8286985,6.8788643,4.0
69272,7.8372946,2.3023694,9.0
41240,-3.3386497,-7.2029014,6.0
47070,5.9688826,2.449904,7.0
26621,5.555635,2.309299,4.0
58413,7.4587383,2.541955,9.0
44600,3.8146052,8.65229,7.0
25154,7.6715665,3.8401625,4.0
17884,-6.99947,1.3250706,2.0
38701,-3.3151457,-5.369687,6.0
52931,5.9633403,-1.0573161,8.0
9573,-5.8421526,2.9095988,1.0
48262,2.4816916,-1.0990832,8.0
3346,-0.4472772,-8.049369,0.0
33651,2.4773233,-3.2183096,5.0
45142,1.6078873,4.0331655,7.0
40672,-4.39937,-6.151809,6.0
7264,-5.998757,5.1096764,1.0
58080,1.1380497,5.8677163,9.0
45562,1.1993271,9.49468,7.0
51373,5.694784,0.05383206,8.0
5354,3.1689122,-8.900581,0.0
20200,4.6944046,-3.4879432,3.0
51158,-0.05475409,1.3529408,8.0
12910,-6.5143924,0.8975231,2.0
29289,7.6120853,4.752069,4.0
8621,-10.018542,1.2375535,1.0
22484,7.352785,-2.3017104,3.0
14660,-5.9703274,-1.9841262,2.0
7223,-4.976833,2.2295969,1.0
17,2.784721,-9.807352,0.0
6861,-10.129049,1.3149444,1.0
58989,-2.5757341,7.911879,9.0
12800,-5.929644,-0.87765557,2.0
41740,-2.8371692,-5.5127587,6.0
16564,-4.303882,-0.0007025581,2.0
12575,-9.386585,3.2445867,1.0
15089,-8.182655,-1.8246014,2.0
17519,0.64170444,-0.7997665,2.0
44502,0.73131615,9.498802,7.0
66582,-4.6409197,-6.443729,6.0
46062,-3.1419535,9.108251,7.0
22558,5.2882524,-3.837025,3.0
53818,-0.023517974,-0.12436309,8.0
55055,0.950171,5.790856,9.0
28921,2.1102386,7.1702847,4.0
45673,5.4836063,8.698508,7.0
32772,-2.1485996,-1.9109375,5.0
11721,-3.921494,3.3429902,1.0
35014,-2.2726686,-1.1711956,5.0
48642,-2.287989,-0.37019166,8.0
23331,7.5039487,-1.5654773,3.0
56738,2.2880647,4.5457435,9.0
63468,5.146179,-0.6012259,3.0
67553,1.7753778,4.1317883,7.0
40306,-4.6942883,-5.253023,6.0
20833,5.9716988,-3.0620232,3.0
59738,2.5166607,5.498516,9.0
45734,-2.166057,8.341289,7.0
16086,-3.0051117,-0.00043736398,2.0
62029,-4.1985426,3.9375074,1.0
18309,-6.2886786,0.57555854,2.0
1126,0.110877335,-10.660323,0.0
31117,3.474411,-3.4884057,5.0
242,-0.002361624,-6.9895678,0.0
63066,-6.639929,-0.3921775,2.0
21541,5.873622,-2.4634864,3.0
13858,-7.58078,-2.701609,2.0
58176,-1.6416426,6.418587,9.0
50585,-0.04402195,1.1254708,8.0
26235,-0.13562104,4.2992015,4.0
20963,2.6733725,-4.54132,3.0
37682,-2.7103748,-3.5616846,6.0
42541,4.087601,8.094726,7.0
23006,2.7462444,-4.4330015,3.0
23231,2.8732696,-2.9586968,3.0
37940,-3.7552404,-8.286781,6.0
24017,6.899787,-5.694382,3.0
6762,-6.9703517,4.705333,1.0
55461,6.380907,2.794929,9.0
18344,-7.9207187,-3.9115632,2.0
29679,6.812141,4.984458,4.0
14171,-5.616032,-0.14693594,2.0
63146,-6.572662,-0.6988673,2.0
55936,2.2331684,6.029475,9.0
64853,-1.2358067,5.215629,4.0
6170,-5.120927,4.471432,1.0
16231,-4.7908735,-1.0896147,2.0
35880,2.950835,-2.262937,5.0
53144,1.3137815,-0.18988895,8.0
55738,0.48749593,5.311589,9.0
11202,-5.6889005,4.901247,1.0
39851,-3.0772989,-6.4950376,6.0
34674,6.437065,-4.910286,5.0
59419,3.7617986,3.757065,9.0
22168,1.4272281,-4.0237017,3.0
46650,3.1091807,9.433091,7.0
59785,4.062747,5.886818,9.0
42308,5.618705,8.657544,7.0
50120,7.095086,-5.557998,8.0
66175,-4.9552217,-4.9524918,6.0
5040,-0.230412,-6.2442718,0.0
36596,-3.4481924,-3.2827356,6.0
15141,-7.928373,-3.384423,2.0
13377,-4.2535744,6.160651,2.0
60081,2.1519709,-9.572917,0.0
66936,-3.4952826,-7.6456103,6.0
68071,2.4093306,-2.64701,8.0
57167,0.74088,3.2453752,9.0
8304,-4.5061727,4.6306844,1.0
67130,0.47953343,8.981381,7.0
14722,-7.007103,0.20115247,2.0
41528,-3.6537306,-9.858849,6.0
9682,-6.9403543,5.1793323,1.0
38817,-3.1229508,-4.9841466,6.0
12294,-3.1196446,1.9306257,1.0
6192,-9.502719,3.0831974,1.0
31009,6.72422,-6.535245,5.0
25004,1.4328798,4.9643817,4.0
43839,-4.455863,7.4156327,7.0
25167,0.9804102,6.8029046,4.0
11069,-6.932318,5.1914587,1.0
62561,-6.8509226,0.6727688,2.0
50927,8.2250185,-5.031847,8.0
40292,-3.4182117,-3.4896472,6.0
38961,-3.582114,-3.3860006,6.0
43665,-0.013985462,9.231477,7.0
52604,6.8989463,-0.31438404,8.0
8709,-7.012883,5.152499,1.0
12888,-5.4406447,-2.014828,2.0
17753,-7.71248,-1.8947941,2.0
54345,-1.8148676,6.811288,9.0
27493,5.9047127,5.900942,4.0
29165,7.167452,4.190152,4.0
2744,0.9996339,-9.363751,0.0
24000,3.322636,-5.707928,3.0
47464,-2.2600927,8.90417,7.0
10608,-2.3094463,2.377291,1.0
62400,-3.6937764,0.43271175,2.0
46818,-3.2060375,8.142922,7.0
58216,-1.0877724,6.2294307,9.0
24008,1.8410759,-3.641323,3.0
27764,-1.0925661,4.361549,4.0
21837,5.878215,-0.0840724,3.0
890,2.300252,-7.5076385,0.0
42132,0.3445567,9.282336,7.0
32602,-2.003785,-2.0598276,5.0
23670,3.7427895,-3.0764074,3.0
64067,6.167444,-4.6975574,3.0
48700,4.6306725,0.0862505,8.0
62935,-4.1583176,-0.87952894,2.0
69384,2.823461,5.1208024,9.0
27003,2.9267864,6.877784,4.0
63873,5.7814493,-3.0906656,3.0
15606,-6.1360307,-3.2838821,2.0
60160,1.842735,-10.420845,0.0
49165,3.4574983,-0.19981274,8.0
52204,2.7998192,1.4049863,8.0
68976,1.0596727,0.11132817,8.0
6931,-10.035875,1.8482598,1.0
14519,-6.796629,-3.0380192,2.0
38560,-3.5894728,-7.946465,6.0
8384,-7.057454,5.214491,1.0
35997,-0.41317952,-4.9074273,5.0
22968,6.6776767,-5.2961936,3.0
33622,3.7333694,-1.3430173,5.0
45856,3.422233,9.283353,7.0
18495,-8.107433,-4.1980443,2.0
36790,-5.650557,-5.0620246,6.0
26334,1.4773606,5.46528,4.0
26191,-2.1604514,7.4559,4.0
34146,3.071951,-2.742704,5.0
47685,0.09413523,8.894806,7.0
13865,-7.4491,-2.672898,2.0
21616,5.0614347,-3.1623735,3.0
22463,5.314122,-2.0335996,3.0
32136,3.0025482,-2.2154727,5.0
19198,8.488224,-2.5362422,3.0
17417,-5.115452,-1.093901,2.0
9290,-4.632413,3.4756043,1.0
34066,2.4365482,1.5458401,5.0
10855,-5.8030424,3.7605655,1.0
20280,5.2692647,0.49470153,3.0
23827,5.7814865,-2.9072227,3.0
28621,6.558117,6.3036933,4.0
6733,-9.478472,3.583125,1.0
36587,-5.107372,-5.9271936,6.0
1467,-0.5733144,-5.41315,0.0
62171,-6.648552,0.5208397,2.0
44431,0.19312643,8.652367,7.0
10893,-4.788779,2.3485413,1.0
33846,6.734115,-4.8345065,5.0
19645,5.329357,-3.4547315,3.0
68784,2.5333853,0.21789168,8.0
62135,-5.6423354,0.15549813,2.0
3083,1.309766,-7.370032,0.0
28306,7.896716,5.665606,4.0
56341,0.1081799,5.328082,9.0
32115,2.7348711,-3.5011616,5.0
48570,1.1844106,0.5229478,8.0
20389,5.569419,-1.7492293,3.0
50511,-0.65855557,-0.43781504,8.0
30908,-0.9533554,-1.9069489,5.0
40402,-5.6185265,-7.350378,6.0
14852,-6.2202783,-0.346912,2.0
53476,5.521581,-4.010459,8.0
9923,-3.4788527,3.5873234,1.0
15217,-0.38501167,-5.2102704,2.0
51948,1.7037398,1.6891774,8.0
65919,-1.0758781,-1.5248548,5.0
63748,6.838808,-3.7930875,3.0
66008,-2.0925303,-2.1567109,5.0
44394,3.6153796,8.369971,7.0
66314,-3.9202416,-7.5550714,6.0
18725,-1.4838988,-3.1836739,3.0
24946,-0.37115833,5.9075565,4.0
55445,6.7723174,-2.6437435,9.0
5428,-0.9656179,-9.142127,0.0
13687,-6.302619,-0.5245306,2.0
1623,0.6086742,-8.707474,0.0
32655,3.2575104,-1.2770562,5.0
33565,4.512255,-2.9737823,5.0
64686,0.4233804,7.2293987,4.0
15391,-5.978429,-1.5389162,2.0
44733,0.051517412,9.463317,7.0
61860,-9.095492,3.1712809,1.0
12330,-5.246796,4.371815,1.0
48568,3.0424092,1.3312643,8.0
25919,7.384413,4.36303,4.0
27544,0.121512435,5.7824717,4.0
6014,-9.946718,2.3693225,1.0
49425,3.1054018,0.20429987,8.0
4296,3.3516755,-9.683097,0.0
28520,4.9278474,6.15469,4.0
60205,0.25823107,-8.5828495,0.0
18813,7.2186437,-2.1225576,3.0
43487,5.0940723,8.660569,7.0
47792,-3.500511,9.193579,7.0
38632,-4.361127,-7.821353,6.0
29078,7.966426,5.23718,4.0
47856,0.73657,9.75753,7.0
23597,4.5003195,-1.6150378,3.0
43786,0.80445594,10.45302,7.0
60010,2.061641,-6.725112,0.0
67115,-3.9581878,1.3083414,7.0
47343,-3.3843424,8.756384,7.0
53117,-0.57352525,0.14779712,8.0
68876,6.1498055,-0.031219479,8.0
35302,-2.5732195,-2.0914307,5.0
57862,-0.9416412,6.269593,9.0
16847,-5.578988,0.48905483,2.0
6810,-7.5386453,3.7415671,1.0
9184,-2.5837946,2.1344144,1.0
22883,1.4312752,-2.94768,3.0
28203,2.33359,3.2032666,4.0
486,-0.56648326,-9.754313,0.0
4090,-0.5845773,-8.933203,0.0
65655,2.8783655,-2.0410192,5.0
66251,-3.6273098,-8.039426,6.0
29177,6.8280478,5.4961977,4.0
17476,-5.8162374,-1.7578365,2.0
62681,-6.029473,-2.5173562,2.0
20950,4.528772,-3.6889951,3.0
13047,-7.3919373,0.3676647,2.0
68350,3.7937648,-0.3711242,8.0
6250,-9.330204,3.915855,1.0
51558,-1.2138052,0.55288506,8.0
13733,-7.348999,-1.9618794,2.0
67005,-3.1747298,5.4075394,7.0
2999,2.055749,-6.725066,0.0
18720,5.1292815,-2.4889104,3.0
68407,7.384836,-0.43142432,8.0
42380,-1.6043512,8.894403,7.0
39813,-2.888098,-5.304184,6.0
12699,-6.9971004,1.1460204,2.0
50631,2.598715,1.0596255,8.0
52240,-0.570199,0.49561086,8.0
56056,5.6412354,2.3070219,9.0
14288,-6.3400497,0.27546477,2.0
7249,-0.05054074,4.049939,1.0
63485,1.193073,-3.4981441,3.0
24715,4.7336416,-4.206227,3.0
65312,-1.7542477,-1.1428493,5.0
52841,-0.61682904,-4.4862776,8.0
31071,-2.0161629,-2.1857154,5.0
35359,1.0681329,-1.913998,5.0
48514,0.45851454,0.34864426,8.0
59669,4.416524,3.7198153,9.0
39699,-2.5131826,-5.3345766,6.0
61551,-7.791983,4.882941,1.0
23652,1.4513527,-4.604023,3.0
48585,-1.190063,0.62279826,8.0
30902,-1.4413755,-1.1182262,5.0
24878,7.327119,5.9697766,4.0
36403,-3.7481332,-8.041609,6.0
56780,8.257907,3.1588788,9.0
20222,6.090143,-4.8847103,3.0
52063,-0.67194676,-3.9190695,8.0
34030,3.155919,-1.9638717,5.0
2594,-0.0109276585,-6.933934,0.0
48673,4.406029,-0.12890433,8.0
24942,4.7528687,5.0914807,4.0
39956,-2.89007,-4.6157837,6.0
2026,0.71646774,-7.906535,0.0
55161,5.2150593,2.4850104,9.0
2778,1.6449311,-8.708554,0.0
54760,4.887823,3.5826023,9.0
19545,4.160105,-5.091568,3.0
11618,-7.565047,4.2448196,1.0
5458,-0.23731522,-9.123961,0.0
62114,-6.822705,3.2913098,1.0
38698,-3.1070852,-9.047673,6.0
27248,5.9174643,5.3089824,4.0
4253,-0.7422615,-6.5333023,0.0
22977,3.7170737,-4.559374,3.0
31236,7.198675,-4.6717677,5.0
64541,9.184549,3.838918,4.0
13130,-6.749891,-1.6202282,2.0
47884,-0.5741657,8.743003,7.0
616,2.3907778,-6.7814517,0.0
36847,-3.1334708,-10.162294,6.0
31508,0.8069697,-1.8163612,5.0
42614,3.065369,8.198997,7.0
32317,1.4403273,-1.4812899,5.0
53350,-0.031453382,0.13895945,8.0
977,-0.042211812,-9.966959,0.0
15160,-9.434376,1.3269876,2.0
22259,1.8112137,-4.310938,3.0
1878,0.3632192,-7.561851,0.0
10466,-1.8994268,2.263486,1.0
21127,5.7179523,-3.1401472,3.0
24659,2.6167324,-4.115671,3.0
66687,-4.066173,-7.542876,6.0
8703,-6.2605524,3.0077593,1.0
32157,5.768492,-3.2110338,5.0
59130,8.597912,2.3832457,9.0
52300,0.506981,-0.33518115,8.0
55172,2.4269273,4.76903,9.0
63694,1.5799499,-4.7758503,3.0
13246,-7.3164544,-3.7133877,2.0
4773,1.8875364,-9.603247,0.0
144,2.6999507,-9.319087,0.0
4694,1.108908,-6.402065,0.0
57942,-2.3368778,6.602954,9.0
65927,-0.47910458,-2.542163,5.0
28872,-0.551336,7.25224,4.0
