,xtsne,ytsne,label
5404,5.448138,0.8978275,0.0
10997,-1.542836,-4.0498796,1.0
60228,3.9971108,0.7921243,0.0
20984,1.4583452,-1.1531839,3.0
33202,1.9525597,0.3808931,5.0
53827,-0.31602407,-2.7452888,8.0
42947,-3.887126,-0.4162132,7.0
35592,1.837829,0.4664786,5.0
47532,-5.0275083,-1.2189426,7.0
66266,1.9510195,1.8043462,6.0
59316,-2.7192156,2.2305684,9.0
15643,-0.2818969,-0.20059659,2.0
3771,6.0613565,0.78973377,0.0
40377,1.6445181,2.0245793,6.0
29775,-2.3807828,3.010662,4.0
12517,-3.1709795,-3.3037055,1.0
33667,1.383952,0.25561652,5.0
32887,2.0341516,0.51507616,5.0
41304,1.4761219,2.6395783,6.0
55801,-3.8517244,1.203426,9.0
55490,-3.2085118,2.5731392,9.0
30780,0.87453973,0.9599066,5.0
16936,3.339834,-1.6935456,2.0
6424,-0.022955991,-4.975661,1.0
44769,-4.8245783,2.808354,7.0
24667,3.7278798,-2.4316561,3.0
27068,-2.2235703,1.4152094,4.0
34840,2.6886768,-0.017411366,5.0
47777,-5.0106187,2.192088,7.0
62673,0.026734186,1.035724,2.0
2000,5.666714,0.65212363,0.0
67048,-4.9512577,-1.1887641,7.0
55811,-4.409368,-0.26136458,9.0
45012,-4.6799417,0.02201907,7.0
1731,5.1360893,2.4610198,0.0
54645,-2.8686936,0.0017420298,9.0
64438,-1.7015454,5.0719457,4.0
39454,1.3369715,2.8173833,6.0
10415,-2.5320795,-2.8736472,1.0
32632,0.48278078,1.532996,5.0
69344,-1.9407492,3.3312883,9.0
31717,1.2870642,0.4958256,5.0
31667,1.1118939,1.0370197,5.0
267,5.1740594,2.5641112,0.0
48437,3.7037842,-2.1682575,8.0
56475,-2.8600833,-0.90913785,9.0
35245,3.2618327,-0.55287224,5.0
8779,-3.232007,-2.3869672,1.0
24130,4.1196623,-3.216305,3.0
49650,0.20307533,-2.3548832,8.0
56182,-3.2273142,3.0525908,9.0
24181,4.405429,-2.7577558,3.0
26156,-0.7638258,4.3482614,4.0
52462,0.6049338,0.393872,8.0
10029,-0.6160637,-4.9437666,1.0
23988,4.3168416,-1.5778018,3.0
32852,0.98027647,1.1413443,5.0
15925,-1.5097779,-1.5067375,2.0
56036,-3.1969976,3.311267,9.0
34334,1.3936266,0.79188377,5.0
46385,-4.737555,-0.02298549,7.0
28485,-1.5771922,5.046296,4.0
47960,-3.7831874,-1.4661179,7.0
21974,3.3511398,-3.1886477,3.0
35673,4.4047937,-0.9880934,5.0
45843,-5.2580004,-1.002076,7.0
36489,2.2912385,3.9994802,6.0
33223,-0.20744559,2.7343736,5.0
64382,-1.5330267,5.059899,4.0
67037,-5.342162,-0.12842676,7.0
50865,0.36669835,-3.1747048,8.0
29916,-0.56561124,2.978918,4.0
49591,0.5746946,-1.8604641,8.0
15411,-1.655338,-0.28847817,2.0
44456,-4.9241476,2.6485991,7.0
50838,1.0292017,-3.0375779,8.0
45577,-3.3124766,-1.6313527,7.0
3983,4.8821316,0.30741704,0.0
1834,5.523615,0.43668887,0.0
16134,-1.1987967,-1.5802764,2.0
562,4.5351377,0.22751807,0.0
69001,-2.713776,4.2538,9.0
3246,4.29048,0.43304572,0.0
34415,1.680685,0.668219,5.0
2019,5.9667563,1.5210948,0.0
50808,0.16729791,-4.320589,8.0
7764,-3.0181684,-3.9048445,1.0
46287,-4.0980687,-1.0212901,7.0
39565,1.0280054,2.2498348,6.0
33724,1.9792534,0.35448426,5.0
54141,-3.1172266,-0.8513945,9.0
